公司编号,职位名称,职位链接,薪资待遇,工作地点,工作经验,最低学历,招聘人数,公司规模
27482095,销售代表高底薪+高提成,http://sh.ganji.com/zpshichangyingxiao/1245753224x.htm,5000-8000元,浦东-川沙,不限,不限,10人,100-499人
12782983,急招销售顾问,http://sh.ganji.com/zpshichangyingxiao/1794666878x.htm,面议,浦东-陆家嘴,不限,不限,2人,500-999人
24761982,高薪招业务经理徐汇五险一金餐补班车,http://sh.ganji.com/zpshichangyingxiao/1680216406x.htm,5000-8000元,徐汇-漕河泾,1年以内,大专,5人,20-99人
24761982,高薪招业务经理宝山五险一金餐补班车,http://sh.ganji.com/zpshichangyingxiao/1817428967x.htm,5000-8000元,徐汇-漕河泾,1年以内,大专,5人,20-99人
24761982,高薪招聘电话销售五险一金餐补班车,http://sh.ganji.com/zpshichangyingxiao/1680235897x.htm,5000-8000元,徐汇-漕河泾,1年以内,大专,5人,20-99人
24104519,包食宿诚招一手房销售,http://sh.ganji.com/zpshichangyingxiao/1451811774x.htm,3000-5000元,松江-松江大学城,1-3年,初中,15人,20-99人
24104519,销售顾问+ 底薪3000+包食宿,http://sh.ganji.com/zpshichangyingxiao/1137353115x.htm,3000-5000元,松江-松江大学城,1年以内,不限,20人,20-99人
24330662,高端销售领跑者 底薪+提成+培训,http://sh.ganji.com/zpshichangyingxiao/1043113941x.htm,3000-5000元,闵行-其他,不限,不限,10人,100-499人
24330662,无责任底薪+包住6险聘房产销售,http://sh.ganji.com/zpshichangyingxiao/1058683295x.htm,5000-8000元,闵行-其他,不限,不限,8人,100-499人
24104519,诚聘一手房销售经理,http://sh.ganji.com/zpshichangyingxiao/1548915020x.htm,8000-12000元,松江-松江大学城,1-3年,初中,5人,20-99人
27259426,3000-5000底薪百分之40提成,http://sh.ganji.com/zpshichangyingxiao/1228002121x.htm,8000-12000元,普陀,不限,不限,5人,500-999人
24330662,高薪无责任底薪包住宿+25以上提成,http://sh.ganji.com/zpshichangyingxiao/1043133888x.htm,5000-8000元,闵行-其他,不限,不限,10人,100-499人
24330662,月入轻松1万以上专业培训+员工旅游,http://sh.ganji.com/zpshichangyingxiao/1611346325x.htm,5000-8000元,闵行-其他,不限,不限,8人,100-499人
